0,FED,FEDERATION,United Federation of Planets,SOL,Peaceful,Compassion,Ethical,Idealistic,federation,FEDERATION,TRUE,TRUE,FEDERATION,"The United Federation of Planets is a coalition of worlds bound by a mutual desire for peace, the pursuit of scientific understanding, and trade. By far however, the most numerous of the Federation races is one of the founding members, the Humans of Sol. The people of the Federation live in a society based on the values of liberty and equality. Their strength lies in extremely effective research, which grants them fast access to new technologies. Their high-quality products come at the expense of high resource costs, however. Because of their moral convictions, they quickly show weaknesses in the field of espionage and sabotage by Starfleet intelligence. However when under attack, some citizens of the Federation were known to effectively change their attitude to ""the ends justify the means"". With a fleet of well-rounded starships, the Federation is equally likely to be seen conducting trade, exploration, humanitarian, and diplomatic missions, as they are to be seen conducting military patrols and combat maneuvers. Starfleet is capable of ending battles, but do not want to start them. OUR CONTINUING MISSION: TO EXPLORE STRANGE NEW WORLDS, TO SEEK OUT NEW LIFE AND NEW CIVILIZATIONS, TO BOLDLY GO WHERE NO ONE HAS GONE BEFORE!"
1,ROM,ROMULAN,Romulan Star Empire,ROMULUS,Aggressive,Xenophobia,Ruthless,Materialistic,romulans,ROMULANS,TRUE,TRUE,,ROMULANS,"To outsiders, the Romulans are an enigmatic race. To the Romulans, however, other races have hardly any mystery left, for their talented intelligence agency, the Tal Shiar, has solved each of those mysteries. Romulan interests are protected by a veil of secrecy and covertness, just as their ships are hidden from prying eyes by powerful cloaking technologies. Their ships move undetected in groups until they are close to their unsuspecting victim, before decloaking and destroying their target in the ambush. Reports on Romulan society show it functions on exceptional research achievements. The basic supply of energy and food for the populace is sufficient to meet day-to-day needs, and is rigorously regulated to be resource-saving, as are their fleet maintenance costs; Romulan fleets expect to decimate the enemy before they have any chance at mounting a defense. In the 24th century, the Romulans became famous for their powerful and cost/performance efficient D'deridex class warbirds, which can however be build only slowly, so you shouldn't start a long, or even a multi-border war. Better use the deceptiveness of the Tal Shiar. WHEN KNOWLEDGE IS POWER, BEING UNKNOWN MEANS TO BE UNCONQUERABLE." 
12,ALSAURIANS,ALSAURIANS,ALSAURIANS,ALSAURI,Peaceful,Intolerant,Ethical,Egalitarian,alsaurians,ALSAURIANS,TRUE,FALSE,,ALSAURIANS,The Alsaurians have for long suffered under the oppression of the neighboring Mokra Order. It would thus be prudent to remain neutral in diplomatic matters until lasting peace is achieved.,
13,ANDORIANS,ANDORIANS,ANDORIANS,ANDORIA,Warlike,Sympathetic,Honorable,Transactional,andorians,ANDORIANS,TRUE,FALSE,,ANDORIANS,"The Andorians are a deeply passionate people with a bloody past, but they desire a more Peaceful future.",
14,ANGOSIANS,ANGOSIANS,ANGOSIANS,ANGOSIA,Aggressive,Sympathetic,Regulated,Egalitarian,angosians,ANGOSIANS,FALSE,FALSE,,ANGOSIANS,"The Angosians have a nearly perfect society, but they pay a high price. Their enhanced soldiers deserve social, as well as military, respect.",
15,ANKARI,ANKARI,ANKARI,ANKARI,Pacifist,Compassion,Regulated,Egalitarian,ankari,ANKARI,TRUE,FALSE,,ANKARI,"The Ankari have a number of convoluted ritualistic beliefs, but they are a reasonably advanced culture, particularly in propulsion studies.",
16,ANTEDEANS,ANTEDEANS,ANTEDEANS,ANTEDEA,Neutral,Xenophobia,Callous,Greedy,antedeans,ANTEDEANS,FALSE,FALSE,,ANTEDEANS,"The Antedeans have advanced technology, particularly in aquatic science, but they find travelling in space alien to their nature.",
17,ANTICANS,ANTICANS,ANTICANS,ANTICA,Aggressive,Intolerant,Callous,Transactional,anticans,ANTICANS,FALSE,FALSE,,ANTICANS,"The Anticans are not as advanced as they would have us believe. An important first step would be a resolution of their conflict with the neighboring species, the Selay.",
18,ARBAZAN,ARBAZAN,ARBAZAN,ARBAZ,Peaceful,Intolerant,Regulated,Transactional,arbazan,ARBAZAN,TRUE,FALSE,,ARBAZAN,"The Arbazan are a highly conservative, yet sophisticated culture. Due to their temperate moralistic ways, they are seen to be arrogant, thus making diplomatic overtures difficult.",
19,ARDANANS,ARDANANS,ARDANANS,ARDANA,Neutral,Intolerant,Callous,Materialistic,ardanans,ARDANANS,FALSE,FALSE,,ARDANANS,The Ardanans live in anti-gravity levitated cities due to the unstable nature of their planet's crust. Various social issues would first need to be addressed if they are to be serious candidates for membership.,
20,ARGRATHI,ARGRATHI,ARGRATHI,ARGRATHI,Peaceful,Intolerant,Ruthless,Transactional,argrathi,ARGRATHI,FALSE,FALSE,,ARGRATHI,"The Argrathi are a humanoid race who are prone to suspicion. They are ruled by the Argrathi Authority, who do not take well to any meddling, and should be approached with caution.",
21,ARKARIANS,ARKARIANS,ARKARIANS,ARKARI,Neutral,Intolerant,Honorable,Materialistic,arkarians,ARKARIANS,FALSE,FALSE,x,,,
22,ATREANS,ATREANS,ATREANS,ATREA,Pacifist,Compassion,Ethical,Egalitarian,atreans,ATREANS,TRUE,FALSE,,ATREANS,"The Atreans are a generally amiable people, and outwardly friendly to most species, for they see such contact as a chance to improve their knowledge.",
23,AXANAR,AXANAR,AXANAR,AXANAR,Neutral,Indifferent,Regulated,Transactional,axanar,AXANAR,TRUE,FALSE,,AXANAR,"The Axanar are an androgynous species with a long life span. They could be useful allies, for they value peace and friendship, but when necessary they are capable of defending themselves.",
24,BAJORANS,BAJORANS,BAJORANS,BAJOR,Aggressive,Intolerant,Honorable,Idealistic,bajorans,BAJORANS,TRUE,FALSE,,BAJORANS,We Bajorans are an ancient spiritual race. We have suffered much in recent times. We follow the advice of the Prophets and trust in them.,
25,BAKU,BAKU,BAKU,BAKU,Pacifist,Sympathetic,Ethical,Idealistic,baku,BAKU,FALSE,FALSE,,BAKU,"The Ba'ku are isolationists, who long ago fled from a devastating war. These survivors have now reformed their ways, and enjoy a Peaceful and harmonious lifestyle, almost totally free from the trappings of technology.",
26,BANDI,BANDI,BANDI,BANDI,Peaceful,Intolerant,Ruthless,Greedy,bandi,BANDI,FALSE,FALSE,,BANDI,"Despite their lack of warp technology the Bandi have access to a wealth of trade links, and if they are willing to trade, they would be a lucrative ally indeed.",
27,BANEANS,BANEANS,BANEANS,BANEA,Peaceful,Intolerant,Ethical,Egalitarian,baneans,BANEANS,FALSE,FALSE,,BANEANS,"The Baneans are strict when it comes to security and law, due mainly to their many troubles with the Numiri.",
28,BARZANS,BARZANS,BARZANS,BARZA,Peaceful,Sympathetic,Regulated,Greedy,barzans,BARZANS,TRUE,FALSE,,BARZANS,"The Barzans are undergoing an economic crisis, and they have appealed for assistance. In exchange, they are offering operational rights and access to a wormhole they have discovered.",
29,BENZITES,BENZITES,BENZITES,BENZAR,Neutral,Sympathetic,Ethical,Materialistic,benzites,BENZITES,TRUE,FALSE,,BENZITES,"The Benzite culture values industry and efficiency, and their membership would be a boon for our industrial centers.",
30,BETAZOIDS,BETAZOIDS,BETAZOIDS,BETAZED,Neutral,Compassion,Honorable,Egalitarian,betazoids,BETAZOIDS,TRUE,FALSE,,BETAZOIDS,Betazoid telepathy is an asset that our rivals may try to exploit. We should offer Betazed our protection.,
31,BILANAIANS,BILANAIANS,BILANAIANS,BILANA,Peaceful,Sympathetic,Ethical,Egalitarian,bilanaians,BILANAIANS,TRUE,FALSE,,BILANAIANS,"The Bilanaians are innovators in propulsion, and would be of significant benefit to our own researchers.",
32,BOLIANS,BOLIANS,BOLIANS,BOLIA,Peaceful,Compassion,Ethical,Egalitarian,bolians,BOLIANS,TRUE,FALSE,,BOLIANS,The Bolians are productive trade merchants. With their resources and connections the economical benefits will be immense.,
33,BOMAR,BOMAR,BOMAR,BOMAR,Aggressive,Xenophobia,Callous,Transactional,bomar,BOMAR,TRUE,FALSE,,BOMAR,The B'Omar are slightly xenophobic but they maintain a wide network of colonies due to their ever-growing population levels.,
34,BOSLICS,BOSLICS,BOSLICS,BOSLIC,Aggressive,Intolerant,Ruthless,Greedy,boslics,BOSLICS,TRUE,FALSE,,BOSLICS,"The Boslics are a trading race, and have been known to deal in arms and other contraband.",
35,BOTHA,BOTHA,BOTHA,BOTHA,Warlike,Xenophobia,Callous,Materialistic,botha,BOTHA,TRUE,FALSE,,BOTHA,"The Botha are an elusive race that are not to be entirely trusted. But if they were on our side, their skill for intelligence gathering would be an asset.",
36,BREELLIANS,BREELLIANS,BREELLIANS,BREEL,Peaceful,Sympathetic,Ethical,Idealistic,breellians,BREELLIANS,FALSE,FALSE,,BREELLIANS,The Bre'ellians suffer with overpopulation. A necessary first step in helping them deal with the problem is terraforming the rest of their system to give them more breathing room.,
37,BREEN,BREEN,BREEN,BREEN,Warlike,Intolerant,Ruthless,Materialistic,breen,BREEN,TRUE,FALSE,,BREEN,"The Breen have advanced weapons, so we must be extremely cautious. It will take a great diplomatic effort if we are to have any productive dealings with them.",
38,BREKKIANS,BREKKIANS,BREKKIANS,BREKKA,Aggressive,Intolerant,Ruthless,Greedy,brekkians,BREKKIANS,TRUE,FALSE,,BREKKIANS,"The Brekkians are not a very developed race. Their economy relies on supplying the powerful narcotic Felicium to other civilizations, capitalizing on their dependency on the drug to perpetuate the profitable business.",
39,BYNARS,BYNARS,BYNARS,BYNAR,Peaceful,Indifferent,Callous,Transactional,bynars,BYNARS,TRUE,FALSE,,BYNARS,"The Bynars are an advanced race, and their state-of-the-art computer technology is the very apex of technical sophistication.",
40,CAIRN,CAIRN,CAIRN,CAIRN,Peaceful,Sympathetic,Ethical,Egalitarian,cairn,CAIRN,TRUE,FALSE,,CAIRN,"The Cairn are greatly skilled diplomats and mediators, due to their gift for telepathy. However, this gift comes at the expense of speech and developed language. Communications with the Cairn will be difficult.",
41,CALDONIANS,CALDONIANS,CALDONIANS,CALDON,Pacifist,Compassion,Honorable,Idealistic,caldonians,CALDONIANS,TRUE,FALSE,,CALDONIANS,"The Caldonians are disciplined researchers, and share our love of knowledge for its own sake.",
42,CAPELLANS,CAPELLANS,CAPELLANS,CAPELLA,Warlike,Intolerant,Honorable,Materialistic,capellans,CAPELLANS,FALSE,FALSE,,CAPELLANS,The Capellans are a fiercely tribal people with a troubled history. Their social divisions have hindered any endeavor for technological or political advancement.,
43,CHALNOTH,CHALNOTH,CHALNOTH,CHALNOTH,Warlike,Intolerant,Callous,Materialistic,chalnoth,CHALNOTH,FALSE,FALSE,,CHALNOTH,"The Chalnoth are a brutal race, and should be approached with caution and respect.",
44,CORIDAN,CORIDAN,CORIDAN,CORIDAN,Neutral,Indifferent,Regulated,Transactional,coridan,CORIDAN,TRUE,FALSE,,CORIDAN,"The Coridan inhabit a strategically important system, in both position and resources. They would be a great asset to us.",
45,CORVALLENS,CORVALLENS,CORVALLENS,CORVALLE,Neutral,Indifferent,Callous,Greedy,corvallens,CORVALLENS,TRUE,FALSE,,CORVALLENS,"The Corvallens are a neutral race of traders, raiders, smugglers and mercenaries, and cannot be trusted. We must be cautious in any dealings we have with them.",
46,CYTHERIANS,CYTHERIANS,CYTHERIANS,CYTHERIA,Peaceful,Compassion,Ethical,Idealistic,cytherians,CYTHERIANS,FALSE,FALSE,,CYTHERIANS,"The Cytherians have reached the peak of corporeal development, but they invest little interest in younger races, thus negotiations will be difficult.",
47,DELTANS,DELTANS,DELTANS,DELTA,Peaceful,Compassion,Honorable,Idealistic,deltans,DELTANS,TRUE,FALSE,,DELTANS,"The Deltans are a passionate people, and highly sexual, which engenders deep feelings among all who encounter them. But they have much to offer in both diplomatic and scientific fields.",
48,DENOBULANS,DENOBULANS,DENOBULANS,DENOBULA,Peaceful,Compassion,Honorable,Egalitarian,denobulans,DENOBULANS,TRUE,FALSE,,DENOBULANS,"The amicable Denobulans are a highly sociable race, and they have an interest or point of view in just about anything. They would be an interesting addition to both our scientific and diplomatic circles.",
49,DEVORE,DEVORE,DEVORE,DEVORE,Aggressive,Xenophobia,Regulated,Materialistic,devore,DEVORE,TRUE,FALSE,,DEVORE,"The Devore are a strong and ruthless militaristic people, who have a general dislike and mistrust of any other power.",
50,DOPTERIANS,DOPTERIANS,DOPTERIANS,DOPTERIA,Neutral,Intolerant,Ruthless,Greedy,dopterians,DOPTERIANS,FALSE,FALSE,,DOPTERIANS,The Dopterians are thieves and hoarders - they cannot be trusted. But they do have their uses.,
51,DOSI,DOSI,DOSI,DOSI,Peaceful,Indifferent,Ruthless,Greedy,dosi,DOSI,FALSE,FALSE,,DOSI,"The Dosi are brokers and intermediary traders, of some sway and influence across many sectors. If we want to open any negotiations with them, we must first recognize and understand the treaties they maintain with existing clients.",
52,DRAI,DRAI,DRAI,DRAI,Peaceful,Sympathetic,Ethical,Egalitarian,drai,DRAI,TRUE,FALSE,,DRAI,"The Drai are a technologically advanced race, and would be difficult to sweep aside if opposed. But they are fair and open in diplomatic talks.",
53,DREMANS,DREMANS,DREMANS,DREMA,Peaceful,Sympathetic,Ethical,Egalitarian,dremans,DREMANS,FALSE,FALSE,,DREMANS,"The Dremans are a primitive, pre-warp civilization, living in harsh conditions on the fourth planet in their system. They would be best left alone until they are ready for full contact and disclosure.",
54,EDO,EDO,EDO,EDO,Peaceful,Intolerant,Ethical,Egalitarian,edo,EDO,FALSE,FALSE,,EDO,"The Edo enjoy an idyllic existence, but their legal system is a high price to pay for their bliss.",
55,ELAURIANS,ELAURIANS,ELAURIANS,ELAURIA,Neutral,Indifferent,Regulated,Transactional,elaurians,ELAURIANS,TRUE,FALSE,,ELAURIANS,"The El-Aurians were invaded long ago, and were dispersed as a people. Now they exist as exiles in space, though lending a friendly ear to any who will take them in.",
56,ELAYSIANS,ELAYSIANS,ELAYSIANS,ELAYSIA,Peaceful,Sympathetic,Ethical,Egalitarian,elaysians,ELAYSIANS,FALSE,FALSE,,ELAYSIANS,The Elaysians come from a small planet with naturally low gravity. This can be a problem for them when adapting to the conditions of most other races.,
57,ENTHARANS,ENTHARANS,ENTHARANS,ENTHARA,Peaceful,Xenophobia,Callous,Greedy,entharans,ENTHARANS,TRUE,FALSE,,ENTHARANS,"The Entharans survive on trade relations with their various partners and affiliates. If we were to gain control of it, it could be a lucrative market indeed...",
58,EVORA,EVORA,EVORA,EVORA,Peaceful,Compassion,Ethical,Egalitarian,evora,EVORA,TRUE,FALSE,,EVORA,"The Evora are relatively new to warp science. If they are to continue to grow and develop in space, they must be protected from any that would seek to exploit them.",
59,EXCALBIANS,EXCALBIANS,EXCALBIANS,EXCALBIA,Neutral,Sympathetic,Honorable,Idealistic,excalbians,EXCALBIANS,FALSE,FALSE,,EXCALBIANS,The Excalbians are a rare example of silicon-based life. It would be a worthy study alone just to understand how they function.,
60,FERENGI,FERENGI,FERENGI,FERENGI,Neutral,Intolerant,Ruthless,Greedy,ferengi,FERENGI,TRUE,FALSE,,FERENGI,"The Ferengi are a race of hucksters, living for material wealth and possessions, and the constant desire to acquire more by any means necessary. Their traders can be found across most of the known galaxy, and their trading fleet is an unparalleled economic force. But the Ferengi cannot be trusted, and it will be difficult to maintain political links without a financial incentive to keep their interest. The potential boon to our economy that Ferengi membership would bring cannot be overstated, however.",
61,FLAXIANS,FLAXIANS,FLAXIANS,FLAXIA,Aggressive,Intolerant,Ruthless,Materialistic,flaxians,FLAXIANS,TRUE,FALSE,,FLAXIANS,The Flaxians are a race that specializes in political intrigue and sabotage. They are to be approached with extreme caution.,
62,GORN,GORN,GORN,GORN,Warlike,Xenophobia,Ruthless,Greedy,gorn,GORN,TRUE,FALSE,,GORN,The Gorn will be meticulous in any border agreements we make with them. But perhaps they should not be provoked; the Gorn lay claim to a large area of space and trade relations with the species would be particularly lucrative.,
63,GRAZERITES,GRAZERITES,GRAZERITES,GRAZERITES,Pacifist,Sympathetic,Ethical,Egalitarian,grazerites,GRAZERITES,TRUE,FALSE,,GRAZERITES,"The Grazerites are a race of insightful humanoids, who have dedicated themselves to diplomacy and inter-species understanding.",
64,HAAKONIANS,HAAKONIANS,HAAKONIANS,HAAKONIA,Warlike,Intolerant,Ruthless,Materialistic,haakonians,HAAKONIANS,TRUE,FALSE,,HAAKONIANS,"The Haakonians are a people that now appreciate peace, after enduring a long war with the Talaxians. They seek above all else to absolve themselves of past misdeeds, but their weapons technology remains.",
65,HALKANS,HALKANS,HALKANS,HALKA,Pacifist,Compassion,Honorable,Idealistic,halkans,HALKANS,FALSE,FALSE,,HALKANS,"The Halkans live in total peace, having renounced technology, economics, and strife of any kind.",
66,HAZARI,HAZARI,HAZARI,HAZARI,Warlike,Intolerant,Ruthless,Greedy,hazari,HAZARI,TRUE,FALSE,,HAZARI,The Hazari are a people who seek to profit from tasks and missions performed for other races. They make particularly efficient bounty hunters - for the right price.,
67,HEKARANS,HEKARANS,HEKARANS,HEKARA,Peaceful,Sympathetic,Ethical,Egalitarian,hekarans,HEKARANS,TRUE,FALSE,,HEKARANS,The Hekarans have some radical ideas about improving and refining warp science. Their research could be of great benefit to our own propulsion programs.,
68,HIROGEN,HIROGEN,HIROGEN,HIROGEN,Warlike,Xenophobia,Ruthless,Materialistic,hirogen,HIROGEN,TRUE,FALSE,,HIROGEN,The Hirogen are a militant race of hunters. They long ago abandoned organized social structures in favor of the Hunt.,
69,HORTA,HORTA,HORTA,HORTA,Aggressive,Indifferent,Regulated,Transactional,horta,HORTA,FALSE,FALSE,,HORTA,"The Horta are an extraordinary silicon-based life form, who have no technology, government, or culture; but they are intelligent, and their world is replete with raw materials.",
70,IYAARANS,IYAARANS,IYAARANS,IYAARA,Peaceful,Compassion,Ethical,Egalitarian,iyaarans,IYAARANS,TRUE,FALSE,,IYAARANS,"The Iyaarans are a people who have little understanding of the common concepts of emotion, desire, and pleasure. But they are willing to learn.",
71,JNAII,JNAII,JNAII,JNAII,Peaceful,Intolerant,Callous,Materialistic,jnaii,JNAII,TRUE,FALSE,,JNAII,"The J'Naii are genderless, and regard dual-sexed species as biologically backward, and dissolute.",
72,KAELON,KAELON,KAELON,KAELON,Neutral,Xenophobia,Regulated,Materialistic,kaelon,KAELON,TRUE,FALSE,,KAELON,"The Kaelon are a ritualistic and superstitious race, but they possess many impressive scientists in multiple fields.",
73,KAREMMA,KAREMMA,KAREMMA,KAREMMA,Neutral,Intolerant,Ruthless,Greedy,karemma,KAREMMA,TRUE,FALSE,,KAREMMA,"The Karemma are a race of prolific trade and commerce. If we want to trade in this quadrant, we will have to involve the Karemma.",
74,KAZON,KAZON,KAZON,KAZON,Warlike,Intolerant,Ruthless,Greedy,kazon,KAZON,TRUE,FALSE,,KAZON,"The Kazon have some level of sophistication, but rely on raiding and the intimidation of other races to obtain their technology. There are distinct social divisions in Kazon culture, which will make diplomacy difficult, as favoring one faction over another could result in a substantial shift in political power. But their shipbuilding expertise would be of particular value to the military.",
75,KELLERUN,KELLERUN,KELLERUN,KELLERUN,Neutral,Indifferent,Regulated,Transactional,kellerun,KELLERUN,TRUE,FALSE,,KELLERUN,"The Kellerun were for a long while at war with the T'Lani, in which many devastating biological weapons were tragically used. But peace now prevails, and both races are recovering.",
76,KESPRYTT,KESPRYTT,KESPRYTT,KESPRYTT,Neutral,Xenophobia,Callous,Materialistic,kesprytt,KESPRYTT,FALSE,FALSE,,KESPRYTT,"Kesprytt is a planet of two species, physiologically alike, but culturally far apart. Through an uneasy peace, each lives in the shadow of fear, accusation, and suspicion of the other - but there is peace, none the less.",
77,KLAESTRON,KLAESTRON,KLAESTRON,KLAESTRON,Aggressive,Intolerant,Ruthless,Transactional,klaestron,KLAESTRON,TRUE,FALSE,x,KLAESTRONIANS,"The Klaestron regime is currently in transition, and any negotiations with them should be delayed until the government has found some stability, and eliminated the long-standing corruption that has afflicted it.",
78,KRADIN,KRADIN,KRADIN,KRADIN,Warlike,Indifferent,Ruthless,Transactional,kradin,KRADIN,TRUE,FALSE,,KRADIN,The Kradin and the Vori are involved in a grim war of mutual hatred and distrust. It may well take a great diplomatic effort to solve the crisis.,
79,KREETASSANS,KREETASSANS,KREETASSANS,KREETASSA,Neutral,Xenophobia,Ethical,Transactional,kreetassans,KREETASSANS,TRUE,FALSE,,KREETASSANS,"The Kreetassans are an open and trusting people, but they have complex beliefs. To achieve any lasting relations with them they must be first understood and respected.",
